key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
#,,TerritoryType,ContentLinkType,Content,,,,,,ContentMemberType,,,,,,ClassJobLevel{Required},ClassJobLevel{Sync},ItemLevel{Required},ItemLevel{Sync},,AllowReplacement,,,,,,HighEndDuty,,,,DutyRecorderAllowed,,,,Name,ContentType,,Transient,,Image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
int32,str,TerritoryType,byte,Row,bit&01,byte,uint32,uint32,byte,ContentMemberType,byte,byte,byte,uint32,uint16,byte,byte,uint16,uint16,bit&02,bit&04,bit&08,bit&10,bit&20,byte,bit&40,bit&80,bit&01,bit&02,bit&04,bit&08,bit&10,bit&20,bit&40,str,ContentType,byte,ContentFinderConditionTransient,uint16,Image,uint32,sbyte,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool
0,"",,0,,False,0,0,0,108,"ContentMemberType#0",0,0,0,0,0,0,0,0,0,False,True,True,False,False,0,False,False,False,False,False,False,True,False,False,"","",0,"",0,"ui/icon/000000/000000.tex",0,-1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,"f1r1","f1r1",1,"Tausend Löcher von Toto-Rak",False,0,0,0,108,"ContentMemberType#2",0,0,0,0,0,24,27,0,0,True,True,True,False,False,1,True,False,True,False,False,False,True,False,False,"Tausend Löcher von Toto-Rak","Dungeons",6,"In Toto-Rak wurden ursprünglich Wilderer, Brandstifter und andere Schwerverbrecher inhaftiert. Der Name stammt von einem legendären Monster mit eintausend Mäulern, der von den Insassen auf diesen Kerker übertragen wurde. Er schien ihnen tausend Zellen zu haben, und die Grausamkeit eines sadistischen Wärters, der die Gefangenen auf bestialische Weise folterte, stand dem Schrecken des Sagenmonsters in keiner Weise nach. Nach 30 Jahren ließen die Druiden den Kerker angesichts der unwürdigen Zustände schließen. Allerdings nisteten sich schon bald nach dem Abzug der gridanischen Wachen Monster in den Höhlen und Gängen ein ...",5,"ui/icon/112000/112005.tex",0,-1,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,"f1d1","f1d1",1,"Totenacker Tam-Tara",False,0,0,0,108,"ContentMemberType#2",0,0,0,0,0,16,19,0,0,True,True,True,False,False,1,True,False,True,False,False,False,True,False,False,"Totenacker Tam-Tara","Dungeons",6,"Die unterirdische Grabanlage wurde ursprünglich von den Bewohnern der Höhlenstadt Gelmorra angelegt, doch auch nach der Staatsgründung Gridanias weiter verwendet. Einst war es ein Ort, an dem die Toten in Frieden ruhen konnten, doch nun haben sich dort finstere Kultisten – die Jünger Dalamuds – eingenistet. Um das zerstörerische Werk Dalamuds zu vollenden, wollen sie mächtige Wesen aus dem Nichts beschwören.",2,"ui/icon/112000/112002.tex",0,-1,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,"w1d1","w1d1",1,"Kupferglocken-Mine",False,0,0,0,108,"ContentMemberType#2",0,0,0,0,0,17,20,0,0,True,True,True,False,False,1,True,False,True,False,False,False,True,False,False,"Kupferglocken-Mine","Dungeons",6,"Vor etwa 300 Jahren wurde die Mine aufgegeben, weil die Kupfererzadern ausgeschöpft waren, doch kürzlich hat die Amajina Bergbau AG die Schürfrechte erworben, um mit neuesten Methoden den Bergbau wieder aufzunehmen. Als die Minenarbeiter jedoch eine der tieferen Ge<SoftHyphen/>steins<SoftHyphen/>schichten durchbrachen, stürmten daraus plötzlich grausame Riesen hervor, die sich in wilder Raserei auf die völlig verdutzten Arbeiter stürzten. Nach<SoftHyphen/>for<SoftHyphen/>schungen haben ergeben, dass es sich dabei um Hekatoncheiren handelt, die zur Zeit der Thorne-Dynastie von den Ul'dahnern eingesperrt wurden und nun Freiheit und Rache fordern.",3,"ui/icon/112000/112003.tex",0,-1,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,"s1d1","s1d1",1,"Sastasha",False,0,0,0,108,"ContentMemberType#2",0,0,0,0,0,15,18,0,0,True,True,True,False,False,1,True,False,True,False,False,False,True,False,False,"Sastasha","Dungeons",6,"Vor der Küste des Bierhafens wurde in der Nähe der Phantominseln ein unbekanntes Schiff gesichtet, woraufhin die Gelbjacken in Alarm<SoftHyphen/>bereit<SoftHyphen/>schaft versetzt wurden. Man befürchtet, das Schiff könnte den Plündernden Schlangen gehören, die bekanntlich gemeinsame Sache mit den kaltblütigen Sahagin machen. Nun wird fieberhaft nach möglichen Piratenverstecken entlang der Küste gesucht und eine Spur führt zur Sastasha-Höhle, wo sich nachts zwielichtige Gestalten herumtreiben sollen.",1,"ui/icon/112000/112001.tex",0,-1,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,"r1r2","r1r2",1,"Goldklamm",False,0,0,0,108,"ContentMemberType#2",0,0,0,0,0,47,49,0,0,True,True,True,False,False,1,True,False,True,False,False,False,True,False,False,"Goldklamm","Dungeons",6,"Von den golden schimmernden Sümpfen erhebt sich ein geheimnisvoller Dunst, der die ganze Goldklamm mystisch erglitzern lässt. Doch dieser Nebel entsteht durch eine Reaktion des Schwefels im Gestein mit dem kostbaren Mithrilerz, wegen dessen einst Minenarbeiter aus dem ganzen Reich herbeiströmten - ein lebens<SoftHyphen/>be<SoftHyphen/>droh<SoftHyphen/>liches Giftgas, das den Atem abschnürt und die Haut verbrennt. So mancher sucht hier dennoch nach Mithril, mancher auch nach den Hinterlassenschaften der Opfer der giftigen Goldgalle. Zurückkommen sieht man allerdings nur wenige ...",12,"ui/icon/112000/112014.tex",0,-1,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,"f1d2","f1d2",1,"Haukke-Herrenhaus",False,0,0,0,108,"ContentMemberType#2",0,0,0,0,0,28,31,0,0,True,True,True,False,False,1,True,False,True,False,False,False,True,False,False,"Haukke-Herrenhaus","Dungeons",6,"Das alte Herrenhaus gehörte einst einem Saatseher, der aufgrund seines unschicklichen Lebenswandels und seiner übermäßigen Prunksucht aus der gridanischen Gemeinschaft ausgestoßen wurde. Daraufhin kaufte eine adlige Erlschatten-Familie das Anwesen. Die derzeitige Herrin ist die für ihre blendende Schönheit und ihr jugendliches Aussehen gerühmte Lady Amandine. Allerdings scheut sie die Öffentlichkeit, seit sie bei der Katastrophe vor fünf Jahren durch eine schreckliche Wunde im Gesicht entstellt wurde. Hat sie womöglich einen Pakt mit einer dunklen Macht geschlossen, um ihre Schönheit zurückzuerlangen?",6,"ui/icon/112000/112006.tex",0,-1,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,"w1d2","w1d2",1,"Halatali",False,0,0,0,108,"ContentMemberType#2",0,0,0,0,0,20,23,0,0,True,True,True,False,False,1,True,False,True,False,False,False,True,False,False,"Halatali","Dungeons",6,"Um die Gladiatoren besser ausbilden zu können, ließ die Betreibergesellschaft des Kolosseums von Ul'dah diese Trainingsstätte einrichten, wo auch speziell für den Kampf in der Arena abgerichtete Monster gezüchtet wurden. Nach der Katastrophe wurde Halatali jedoch aufgegeben und man nahm an, dass die Monster darin längst verhungert sein müssten. Doch das Expeditionsteam, das nach fünf Jahren nachsehen wollte, ob sich die Trainingsstätte wieder nutzen ließe, stieß dort auf blutrünstige Bestien, die aus einem langen und unerbittlichen Überlebenskampf siegreich hervorgegangen sind.",4,"ui/icon/112000/112004.tex",0,-1,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
