key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
#,,TerritoryType,ContentLinkType,Content,,,,,,ContentMemberType,,,,,,ClassJobLevel{Required},ClassJobLevel{Sync},ItemLevel{Required},ItemLevel{Sync},,AllowReplacement,,,,,,HighEndDuty,,,,DutyRecorderAllowed,,,,Name,ContentType,,Transient,,Image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
int32,str,TerritoryType,byte,Row,bit&01,byte,uint32,uint32,byte,ContentMemberType,byte,byte,byte,uint32,uint16,byte,byte,uint16,uint16,bit&02,bit&04,bit&08,bit&10,bit&20,byte,bit&40,bit&80,bit&01,bit&02,bit&04,bit&08,bit&10,bit&20,bit&40,str,ContentType,byte,ContentFinderConditionTransient,uint16,Image,uint32,sbyte,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool
0,"",,0,,False,0,0,0,108,"ContentMemberType#0",0,0,0,0,0,0,0,0,0,False,True,True,False,False,0,False,False,False,False,False,False,True,False,False,"","",0,"",0,"ui/icon/000000/000000.tex",0,-1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,"f1r1","f1r1",1,"les Mille Gueules de Toto-Rak",False,0,0,0,108,"ContentMemberType#2",0,0,0,0,0,24,27,0,0,True,True,True,False,False,1,True,False,True,False,False,False,True,False,False,"les Mille Gueules de Toto-Rak","Donjons",6,"Tirant leur nom d'une créature mangeuse d'hommes issue de l'ancien folklore des Padjals, les Mille Gueules de Toto-Rak ont été bâties dans un réseau de grottes naturelles situé sous la Charmille silencieuse. Cet austère pénitencier abritait jusqu'à une époque récente les pires criminels de Gridania, des incendiaires aux braconniers. Le geôlier, surnommé Toto-Rak, était sinistrement connu pour faire subir à ses détenus d'atroces tortures et châtiments. L'Oracle de l'époque ayant déclaré l'endroit inhumain et contraire aux principes de l'harmonie gridanienne, la fermeture des Mille Gueules fut décidée il y a une trentaine d'années, permettant aux monstres d'envahir l'endroit.",5,"ui/icon/112000/112005.tex",0,-1,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,"f1d1","f1d1",1,"l'Hypogée de Tam-Tara",False,0,0,0,108,"ContentMemberType#2",0,0,0,0,0,16,19,0,0,True,True,True,False,False,1,True,False,True,False,False,False,True,False,False,"l'Hypogée de Tam-Tara","Donjons",6,"Depuis son aménagement à l'époque de la Cité de Gelmorra, ce mausolée souterrain a été utilisé pendant plusieurs générations comme ultime demeure des nobles et des rois, même après la fondation de Gridania. Cependant, depuis le Fléau, les galeries de la nécropole ont été investies par les Survivalistes, une secte apocalyptique qui adore Dalamud qu'elle perçoit comme une puissance salvatrice. Ces âmes torturées préparent en secret leur revanche contre ceux qui ont empêché l'avènement de Dalamud, et prévoient d'invoquer toutes les forces sombres qui pourront les aider... Et elles sont prêtes à tout pour cela, y compris à profaner Tam-Tara.",2,"ui/icon/112000/112002.tex",0,-1,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,"w1d1","w1d1",1,"les Mines de Clochecuivre",False,0,0,0,108,"ContentMemberType#2",0,0,0,0,0,17,20,0,0,True,True,True,False,False,1,True,False,True,False,False,False,True,False,False,"les Mines de Clochecuivre","Donjons",6,"Abandonnées après avoir été vidées de leur minerai, les Mines de Clochecuivre sont restées dé<SoftHyphen/>saf<SoftHyphen/>fec<SoftHyphen/>tées pendant plus de trois siècles, jusqu'à ce que la société minière Amajina et Fils ne les récupère avec l'intention de relancer l'ex<SoftHyphen/>ploi<SoftHyphen/>ta<SoftHyphen/>tion en creusant davantage pour mettre à jour de nouveaux filons. Hélas, elle a ainsi accidentellement libéré une armée de géants en furie qui était jusqu'alors emprisonnée dans les profondeurs de la mine. Anciens esclaves de la défunte dynastie Thorne, les hécatonchires menacent de se déchaîner, enfin libérés de leur prison et animés par une haine vieille de trois cents ans.",3,"ui/icon/112000/112003.tex",0,-1,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,"s1d1","s1d1",1,"Sastasha",False,0,0,0,108,"ContentMemberType#2",0,0,0,0,0,15,18,0,0,True,True,True,False,False,1,True,False,True,False,False,False,True,False,False,"Sastasha","Donjons",6,"Restés quelque temps calmes après le Fléau, les pillards du serpent ont recommencé à semer la terreur dans les îles d'Ombra, aux environs de Port-aux-Ales. Impuissants, les casaques jaunes ne peuvent que constater les dégâts provoqués par ces pillards, connus pour être de mèche avec les Sahuagins<Indent/>: vols, rapts, saccages, incendies... Nul n'avait réussi à localiser leur repaire, que l'on situait dans les environs de la vallée du Crâne, jusqu'au jour où un berger repéra un groupe de malfrats peinturlurés pénétrant dans la grotte de Sastasha, transportant un grand nombre de sacs et de caisses. Il semble urgent de faire la lumière sur ce mystère.",1,"ui/icon/112000/112001.tex",0,-1,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,"r1r2","r1r2",1,"le Val d'Aurum",False,0,0,0,108,"ContentMemberType#2",0,0,0,0,0,47,49,0,0,True,True,True,False,False,1,True,False,True,False,False,False,True,False,False,"le Val d'Aurum","Donjons",6,"Le Val d'Aurum est un lieu splendide qui doit son nom à la brume dorée qui l'enveloppe perpétuellement. Cet étrange phénomène serait provoqué par une réaction du souffre et du mithril contenus dans le sol avec les eaux souterraines, et malgré l'émerveillement qu'il peut susciter, il n'en reste pas moins nocif pour les humains. Nombreux sont ceux qui, attirés par ces lueurs fantastiques, par d'éventuels filons d'or, ou même par les possessions qu'ont laissées ceux ayant succombé à ce brouillard toxique, se sont aventurés ici... mais aucun n'a jamais réussi à en ressortir vivant.",12,"ui/icon/112000/112014.tex",0,-1,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,"f1d2","f1d2",1,"le Manoir des Haukke",False,0,0,0,108,"ContentMemberType#2",0,0,0,0,0,28,31,0,0,True,True,True,False,False,1,True,False,True,False,False,False,True,False,False,"le Manoir des Haukke","Donjons",6,"Ancienne résidence historique des Oracles et lieu de réflexion et de méditation, le Manoir des Haukke a été décrété trop fastueux par un Oracle ré<SoftHyphen/>vo<SoftHyphen/>lu<SoftHyphen/>tion<SoftHyphen/>nai<SoftHyphen/>re et a perdu sa fonction officielle. Le bâtiment a alors été vendu à une riche famille de Crépusculaires.

On sait très peu de choses sur la pro<SoftHyphen/>prié<SoftHyphen/>taire actuelle des lieux, une certaine dame Amandine, si ce n'est qu'elle a toujours fait preuve d'une vanité sans bornes, dépensant sans compter pour conserver sa beauté. Des crèmes pour le visage à base de miels rares du Coerthas aux shampooings de lait de poiluche exotique, son rituel de beauté quotidien prit tant d'ampleur que la rumeur populaire allait jusqu'à prétendre qu'elle se baignait dans le sang de ses servantes vierges. Aucun produit artificiel ne peut toutefois camoufler les atroces cicatrices qui la défigurent suite au Fléau, et depuis, elle a recours à un bien plus sinistre sacrifice au nom de la beauté, renonçant à son âme même dans un dernier effort pour “sauver les apparences”.",6,"ui/icon/112000/112006.tex",0,-1,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,"w1d2","w1d2",1,"Halatali",False,0,0,0,108,"ContentMemberType#2",0,0,0,0,0,20,23,0,0,True,True,True,False,False,1,True,False,True,False,False,False,True,False,False,"Halatali","Donjons",6,"À l'origine, le labyrinthe sinueux de grottes naturelles qui s'étend sous ce grand plateau était un lieu sacré pour les premiers Lalafells arrivés en Éorzéa, que la Fondation du Colisée d'Ul'dah a transformé en lieu d'en<SoftHyphen/>traî<SoftHyphen/>ne<SoftHyphen/>ment pour ses protégés. Ses fosses d'en<SoftHyphen/>traî<SoftHyphen/>ne<SoftHyphen/>ment, enclos de bêtes et cellules de détention ont été laissées à l'abandon dans la confusion qui a suivi le septième fléau. Les créatures qui se trouvaient encore dans les fosses ont été laissées pour mortes, sans nourriture. Mais la réouverture de l'endroit cinq ans plus tard a réservé une surprise de taille<Indent/>: loin d'être déserts, les lieux sont hantés par des bêtes féroces ayant visiblement survécu, ainsi que par les esprits de ceux qui y ont perdu la vie.",4,"ui/icon/112000/112004.tex",0,-1,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
